"","PIB","Trabalho","Cambio"
"BRA-1950",86574.058171913,2042,7.89407279338927e-15
"BRA-1951",90813.6765960718,2051.02,7.9297923287936e-15
"BRA-1952",99449.221807915,2060.08,7.9297923287936e-15
"BRA-1953",104503.139389144,2069.18,8.56084232882142e-15
"BRA-1954",113076.079199048,2078.31,1.30972550937989e-14
"BRA-1955",120375.315183613,2087.49,1.78598927596197e-14
"BRA-1956",124745.030504981,2096.71,2.05984109806849e-14
"BRA-1957",137270.129797878,2105.97,2.17890688843483e-14
"BRA-1958",146030.662023065,2115.27,2.75042348901555e-14
"BRA-1959",157291.121007259,2124.62,4.34590750039137e-14
"BRA-1960",169499.82710784,2134,8.09648504042319e-14
"BRA-1961",193353.921236025,2135.1,1.1668463188936e-13
"BRA-1962",203356.220512401,2136.2,1.67883000412059e-13
"BRA-1963",216464.956193858,2137.29,2.48847842748068e-13
"BRA-1964",225476.628021434,2138.39,5.4175011869919e-13
"BRA-1965",241192.094494337,2139.49,8.21555054840173e-13
"BRA-1966",250752.649905435,2140.59,9.60862217154973e-13
"BRA-1967",265130.389811011,2141.69,1.15255841598141e-12
"BRA-1968",294824.521719399,2142.8,1.46451128293693e-12
"BRA-1969",313737.917627444,2143.9,1.76217616629804e-12
"BRA-1970",348008.565960001,2145,1.98785378344809e-12
"BRA-1971",387472.737339883,2128.54,2.28822086312487e-12
"BRA-1972",433736.982178663,2112.21,2.56796001993275e-12
"BRA-1973",494330.03858888,2096,2.65094052783721e-12
"BRA-1974",534617.93673396,2079.77,2.9383610615176e-12
"BRA-1975",562257.684062948,2063.67,3.5168444719385e-12
"BRA-1976",619945.322447678,2047.69,4.61870733099062e-12
"BRA-1977",650508.626844197,2031.83,6.12086729455843e-12
"BRA-1978",682838.905598612,2016.1,7.81974984419137e-12
"BRA-1979",728998.815617153,2000.49,1.1660690720063e-11
"BRA-1980",796285.406298594,1985,2.28123189244443e-11
"BRA-1981",762443.276530868,1974.1,4.03001093531326e-11
"BRA-1982",768771.555725847,1963.25,7.76854427171099e-11
"BRA-1983",746246.549143448,1952.47,2.49718172221135e-10
"BRA-1984",786543.862797179,1941.75,7.99741323974137e-10
"BRA-1985",848279.6905878,1931.08,2.68324234084592e-09
"BRA-1986",911815.839412853,1920.47,5.90968226749251e-09
"BRA-1987",944002.938544157,1909.92,1.6976307824584e-08
"BRA-1988",943436.536780884,1899.43,1.1354767374037e-07
"BRA-1989",973249.131343441,1889,1.22638743473744e-06
"BRA-1990",930912.794129727,1879,2.95572678942699e-05
"BRA-1991",940501.195909256,1874.23,0.000175961443086024
"BRA-1992",936266.927038139,1869.48,0.00195302352248811
"BRA-1993",981546.606817014,1864.73,0.038276610926673
"BRA-1994",1038989.74724554,1860,0.664683514070577
"BRA-1995",1082872.45162304,1855.23,0.917666666666667
"BRA-1996",1106159.91572043,1850.48,1.0051
"BRA-1997",1143495.62753748,1845.73,1.07799166666667
"BRA-1998",1143899.86728758,1841,1.16051666666667
"BRA-1999",1146806.11932456,1841,1.81393284657213
"BRA-2000",1196189.85213025,1841,1.82942312207561
"BRA-2001",1211897.24607939,1841,2.34963170932244
"BRA-2002",1244110.61509865,1841,2.92036301775519
"BRA-2003",1258375.83403078,1841,3.07747511847801
"BRA-2004",1330257.94085989,1841,2.92511944951586
"BRA-2005",1372289.75,1841,2.43439003623188
"BRA-2006",1426591.73649897,1841,2.17532666666667
"BRA-2007",1513491.2970311,1841,1.94705833333333
"BRA-2008",1591625.35120867,1841,1.83376666666667
"BRA-2009",1586352.13293198,1841,1.99942817314426
"BRA-2010",1705861.68269867,1841,1.75922671058718
"BRA-2011",1752480.91799407,1841,1.67282875525659
